---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 213 |      [14  4] |      E |      3.0000 |     5.0000 |  -41.0000 |     -0.1 |  -41.1000
 214 |      [14  5] |      W |      4.0000 |     4.2426 |  -81.0000 |     -0.1 |  -81.1000
 215 |      [14  4] |      W |      3.0000 |     3.6056 |  -82.0000 |     -0.1 |  -82.1000
 216 |      [14  3] |      W |      3.0000 |     3.1623 |  -82.0000 |     -0.1 |  -82.1000
 217 |      [14  2] |      W |      3.0000 |     3.0000 |  -80.0000 |     -0.1 |  -80.1000
 218 |      [14  1] |      W |      3.0000 |     3.1623 |  -40.0000 |     -0.1 |  -40.1000
 219 |      [14  0] |      E |      3.0000 |     3.0000 |  -82.0000 |     -0.1 |  -82.1000
 220 |      [14  1] |      E |      3.0000 |     3.1623 |  -84.0000 |     -0.1 |  -84.1000
 221 |      [14  2] |      E |      3.0000 |     3.6056 |  -84.0000 |     -0.1 |  -84.1000
 222 |      [14  3] |      E |      3.0000 |     4.2426 |  -84.0000 |     -0.1 |  -84.1000
 223 |      [14  4] |      E |      3.0000 |     5.0000 |  -43.0000 |     -0.1 |  -43.1000
 224 |      [14  5] |      W |      4.0000 |     4.2426 |  -85.0000 |     -0.1 |  -85.1000
 225 |      [14  4] |      W |      3.0000 |     3.6056 |  -86.0000 |     -0.1 |  -86.1000
---------------------------------------------------------------------------------------------------------

