time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
8693,25,4.65,346,-1.34497658,0.0,2070,0.9449443333333334,0.009269559755921364,1846,0.001
8744,25,4.82,346,-1.3451410799999997,0.01,2080,0.9446213333333333,0.007672024890780449,1871,0.001
8797,25,5.09,345,-1.3525744200000003,0.02,2090,0.9442856666666666,0.014510439708828926,1898,0.001
8843,25,4.85,344,-1.3330207,0.02,2100,0.9439943333333333,0.011164287105202675,1921,0.001
8865,25,4.43,343,-1.2897657,0.02,2110,0.9438550000000001,0.010138235986232758,1932,0.001
8909,25,4.58,343,-1.3045424600000002,0.02,2120,0.9435763333333332,0.011923059821128845,1954,0.001
8962,26,4.73,342,-1.31468778,0.02,2130,0.9432406666666667,0.006365089677274227,1980,0.001
9002,26,4.52,341,-1.3040337800000001,0.02,2140,0.9429873333333334,0.018248053267598152,2000,0.001
9070,26,4.79,340,-1.3321818,0.02,2150,0.9425566666666667,0.015217200852930546,2034,0.001
9125,26,4.77,339,-1.30739867,0.03,2160,0.9422083333333333,0.0141341807320714,2062,0.001
9174,27,4.81,338,-1.3098160699999999,0.03,2170,0.9418979999999999,0.011119624599814415,2086,0.001
9205,27,4.61,338,-1.31038793,0.02,2180,0.9417016666666668,0.013066798448562622,2102,0.001
9243,27,4.46,337,-1.3157767000000005,0.01,2190,0.941461,0.012275993824005127,2121,0.001
9297,27,4.54,337,-1.3014444,0.02,2200,0.941119,0.013127455487847328,2148,0.001
9372,27,5.07,336,-1.3538773700000002,0.02,2210,0.9406439999999999,0.01885368674993515,2185,0.001
9437,28,5.28,335,-1.3739448699999997,0.02,2220,0.9402323333333333,0.014579091221094131,2218,0.001
9478,28,5.16,334,-1.3669248200000002,0.02,2230,0.9399726666666666,0.006293339654803276,2238,0.001
9501,28,4.99,333,-1.34725741,0.02,2240,0.9398270000000001,0.01662420481443405,2250,0.001
9530,28,4.6,333,-1.3037873,0.02,2250,0.9396433333333333,0.013780182227492332,2264,0.001
9578,28,4.53,332,-1.3146489600000002,0.01,2260,0.9393393333333333,0.010887413285672665,2288,0.001
9606,28,4.32,332,-1.27068308,0.02,2270,0.9391619999999999,0.005675678141415119,2302,0.001
9634,29,4.29,331,-1.267443,0.02,2280,0.9389846666666667,0.01816524937748909,2316,0.001
9743,29,5.0,330,-1.3383371900000003,0.02,2290,0.9382943333333332,0.02160870097577572,2371,0.001
9794,29,4.97,329,-1.35745589,0.01,2300,0.9379713333333333,0.007078147493302822,2396,0.001
9817,29,4.45,328,-1.30666638,0.01,2310,0.9378256666666667,0.011095277965068817,2408,0.001
9863,30,4.26,328,-1.28925893,0.01,2320,0.9375343333333334,0.016879728063941002,2431,0.001
9906,30,4.28,327,-1.29037871,0.01,2330,0.9372619999999999,0.00751539459452033,2452,0.001
9949,30,4.48,327,-1.3061354399999998,0.01,2340,0.9369896666666667,0.006735341623425484,2474,0.001
10036,30,5.06,325,-1.36875652,0.01,2350,0.9364386666666666,0.008658702485263348,2517,0.001
10070,30,4.92,325,-1.3386289199999997,0.02,2360,0.9362233333333334,0.006835252977907658,2534,0.001
10105,31,4.99,324,-1.3701095299999997,0.01,2370,0.9360016666666667,0.010849108919501305,2552,0.001
10160,31,5.26,323,-1.3918315099999998,0.01,2380,0.9356533333333332,0.02069203183054924,2579,0.001
10184,31,4.41,322,-1.30863473,0.01,2390,0.9355013333333333,0.011794917285442352,2591,0.001
10239,31,4.45,320,-1.3066823300000001,0.01,2400,0.935153,0.008910281583666801,2619,0.001
10310,32,4.93,318,-1.3538186700000003,0.01,2410,0.9347033333333333,0.009023550897836685,2654,0.001
10344,32,4.81,317,-1.34599682,0.01,2420,0.9344880000000001,0.01164519228041172,2671,0.001
10391,32,4.85,315,-1.3489125000000002,0.01,2430,0.9341903333333333,0.008857859298586845,2695,0.001
10466,33,5.17,313,-1.3859012000000002,0.01,2440,0.9337153333333335,0.014732593670487404,2732,0.001
10531,34,4.95,308,-1.3153628499999999,0.03,2450,0.9333036666666665,0.008912129327654839,2765,0.001
10577,34,5.07,306,-1.3445001100000002,0.02,2460,0.9330123333333332,0.007980999536812305,2788,0.001
10633,34,5.28,305,-1.3575614099999997,0.02,2470,0.9326576666666666,0.01002966146916151,2816,0.001
10700,35,5.4,303,-1.36648662,0.02,2480,0.9322333333333335,0.004252915270626545,2849,0.001
10732,35,5.48,302,-1.37203589,0.02,2490,0.9320306666666667,0.01337401382625103,2865,0.001
10778,35,5.39,301,-1.3668772200000001,0.02,2500,0.9317393333333334,0.007157281041145325,2888,0.001
10803,35,4.93,301,-1.3214151300000003,0.02,2510,0.931581,0.009101161733269691,2901,0.001
10836,35,4.92,301,-1.31915246,0.02,2520,0.9313719999999999,0.015508029609918594,2917,0.001
10855,36,4.64,300,-1.29382058,0.02,2530,0.9312516666666666,0.015719670802354813,2927,0.001
10906,36,4.4,300,-1.24300163,0.03,2540,0.9309286666666666,0.010526936501264572,2952,0.001
10945,36,4.14,300,-1.2594682700000002,0.01,2550,0.9306816666666667,0.008002405986189842,2972,0.001
10980,36,4.03,299,-1.24973746,0.01,2560,0.9304600000000001,0.008904035203158855,2989,0.001
11022,36,3.89,299,-1.24402048,0.01,2570,0.930194,0.018237993121147156,3010,0.001
11064,36,3.64,299,-1.22500363,0.01,2580,0.929928,0.008805572055280209,3031,0.001
11120,37,3.88,298,-1.2444674500000001,0.01,2590,0.9295733333333333,0.017984114587306976,3059,0.001
11189,37,4.11,298,-1.26732573,0.01,2600,0.9291363333333333,0.013750978745520115,3094,0.001
11243,37,4.4,297,-1.2946069699999998,0.01,2610,0.9287943333333333,0.011539379134774208,3121,0.001
11287,37,4.51,297,-1.3067598899999995,0.01,2620,0.9285156666666666,0.008114002645015717,3143,0.001
11304,38,4.49,297,-1.3050385400000002,0.01,2630,0.9284079999999999,0.013414610177278519,3151,0.001
11342,38,4.36,297,-1.3183732000000001,0.0,2640,0.9281673333333333,0.013874088414013386,3170,0.001
11385,38,4.4,296,-1.3200618899999998,0.0,2650,0.9278949999999999,0.00566790159791708,3192,0.001
11416,38,4.36,296,-1.31538151,0.0,2660,0.9276986666666666,0.01191532239317894,3207,0.001
11452,38,4.3,295,-1.3117130499999998,0.0,2670,0.9274706666666668,0.012532519176602364,3225,0.001
11500,38,4.36,295,-1.31687181,0.0,2680,0.9271666666666667,0.006695285439491272,3249,0.001
11545,39,4.25,295,-1.2875332800000001,0.01,2690,0.9268816666666667,0.011716391891241074,3272,0.001
11582,39,3.93,294,-1.2525421,0.01,2700,0.9266473333333333,0.012072300538420677,3290,0.001
11628,39,3.85,294,-1.2437906699999999,0.01,2710,0.926356,0.009498672559857368,3313,0.001
11671,39,3.84,294,-1.23921159,0.01,2720,0.9260836666666667,0.017067644745111465,3335,0.001
11709,39,4.05,294,-1.25671523,0.01,2730,0.925843,0.0077594975009560585,3354,0.001
11743,39,4.01,293,-1.2483560500000002,0.01,2740,0.9256276666666667,0.013540775515139103,3371,0.001
11773,40,3.88,293,-1.21983981,0.02,2750,0.9254376666666667,0.015100769698619843,3386,0.001
11799,40,3.83,293,-1.21737008,0.02,2760,0.925273,0.011917355470359325,3399,0.001
11825,40,3.73,292,-1.2049002599999998,0.02,2770,0.9251083333333333,0.008777235634624958,3412,0.001
11895,40,3.95,292,-1.22555746,0.02,2780,0.9246650000000001,0.009334647096693516,3447,0.001
11945,40,4.0,292,-1.25376187,0.01,2790,0.9243483333333334,0.011971306055784225,3472,0.001
11972,40,3.9,292,-1.24588433,0.01,2800,0.9241773333333334,0.010180640034377575,3485,0.001
12020,41,3.92,291,-1.2503462300000001,0.01,2810,0.9238733333333333,0.01026480458676815,3509,0.001
12075,41,4.04,291,-1.2324205999999998,0.02,2820,0.9235249999999999,0.02259119041264057,3537,0.001
12117,41,4.08,291,-1.2340292000000002,0.02,2830,0.9232589999999999,0.011366632767021656,3558,0.001
12163,41,4.2,290,-1.22699353,0.03,2840,0.9229676666666666,0.009218452498316765,3581,0.001
12195,41,4.22,290,-1.24949319,0.02,2850,0.9227650000000001,0.011534670367836952,3597,0.001
12264,42,4.65,290,-1.27004206,0.03,2860,0.9223279999999999,0.005728830583393574,3631,0.001
12299,42,4.74,289,-1.27523284,0.03,2870,0.9221063333333333,0.009361718781292439,3649,0.001
12343,42,4.48,288,-1.2519341499999999,0.03,2880,0.9218276666666667,0.007575498428195715,3671,0.001
12386,42,4.41,288,-1.2482883200000001,0.03,2890,0.9215553333333333,0.009181419387459755,3692,0.001
12410,43,4.38,287,-1.24669958,0.03,2900,0.9214033333333334,0.009769780561327934,3704,0.001
12433,43,4.13,287,-1.22148766,0.03,2910,0.9212576666666668,0.0074655720964074135,3716,0.001
12458,43,3.83,287,-1.22426228,0.02,2920,0.9210993333333333,0.008318023756146431,3728,0.001
12503,43,3.86,285,-1.23302756,0.02,2930,0.9208143333333333,0.005155337043106556,3751,0.001
12571,44,4.08,285,-1.2691444200000002,0.01,2940,0.9203836666666667,0.006379038095474243,3785,0.001
12613,44,4.18,285,-1.2737738500000002,0.01,2950,0.9201176666666667,0.007282256614416838,3806,0.001
12650,44,3.86,285,-1.2598930400000001,0.0,2960,0.9198833333333333,0.007628909777849913,3824,0.001
12707,44,4.08,284,-1.28154761,0.0,2970,0.9195223333333332,0.013948856852948666,3853,0.001
12745,44,4.02,284,-1.27558688,0.0,2980,0.9192816666666667,0.009503617882728577,3872,0.001
