---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 213 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 214 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 215 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 216 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 217 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 218 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 219 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 220 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 221 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 222 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 223 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 224 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 225 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
---------------------------------------------------------------------------------------------------------

