---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 209 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 210 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 211 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 212 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 213 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 214 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 215 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 216 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 217 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 218 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 219 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 220 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 221 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 222 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 223 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 224 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 225 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
---------------------------------------------------------------------------------------------------------

