method,split,policy_seed,scenarios,repetitions_per_scenario,route_measurements,route_mean_ms,route_median_ms,route_sample_std_ms,route_min_ms,route_max_ms,decision_measurements,decision_mean_ms,decision_median_ms,decision_sample_std_ms,decision_min_ms,decision_max_ms
rl_dqn,obstacle_density_10,all_seeds,10,10,500,53.76520505359804,75.50145199638791,42.25775386538059,2.0898809998470824,130.03500099694065,500,0.43697035583600913,0.37965746224977515,0.10669610323752247,0.3270806667407871,0.8854950002777124
rl_dqn,obstacle_density_40,11,10,10,100,85.91870032911174,77.24668649825617,16.10691548054651,73.22742799624393,134.88428798882524,100,0.38186089035160775,0.34331860665891634,0.07158629102465114,0.3254552355388619,0.5994857243947789
rl_dqn,obstacle_density_40,22,10,10,100,18.79212064022795,4.3312325005899766,29.702967019423546,1.6758059973653872,89.00839499619906,100,0.347497886198019,0.3403648674188494,0.024308147044675946,0.3307263554759427,0.531512384790963
rl_dqn,obstacle_density_40,33,10,10,100,85.78654007902514,77.49559548938123,16.472275571114952,72.57554800526123,130.36320999526652,100,0.38127351146233396,0.3444248688416943,0.07321011364939979,0.32255799113449435,0.5793920444234067
rl_dqn,obstacle_density_40,44,10,10,100,86.6324268689823,77.43874149673502,16.771850754910922,73.92435701149225,133.97462699322205,100,0.385033008306588,0.3441721844299334,0.0745415589107152,0.32855269782885443,0.5954427866365424
rl_dqn,obstacle_density_40,55,10,10,100,40.128133111029456,4.858112500187417,46.03555212334266,1.7312349991698284,131.63114699273137,100,0.384224494624953,0.3517014231944743,0.06910388434363163,0.3319995378600045,0.585027319967695
rl_dqn,obstacle_density_40,all_seeds,10,10,500,63.45158420567532,75.93386998905771,39.67525980635693,1.6758059973653872,134.88428798882524,500,0.37597795818870033,0.344682493378059,0.06672512675567518,0.32255799113449435,0.5994857243947789
rl_dqn,scale_100,11,10,10,100,1164.5922883830463,4.084986499947263,1794.6966103888985,0.6828339992352994,4428.027615980682,100,0.5401132190984018,0.49428466688065475,0.2016499819025454,0.3458649552023417,1.4848650007479591
rl_dqn,scale_100,22,10,10,100,787.1504836057102,2.394899498540326,1580.9785128140315,0.6817699995735893,4392.488876916104,100,0.5267620969693932,0.508406833432673,0.16050843025057854,0.3443291428279086,1.1824150005850242
rl_dqn,scale_100,33,10,10,100,385.2948045805715,6.244692500331439,1147.929462561898,1.1280500002612825,4363.294556915207,100,0.4756711524472802,0.42887077794754686,0.1252730960313219,0.34369079851549034,0.9319103334443449
rl_dqn,scale_100,44,10,10,100,394.6927802185928,3.540079501362925,1182.417114100905,0.6957660007174127,4433.27767907067,100,0.5820935806163379,0.5287741660140455,0.23027178275268526,0.3443037036992825,1.775048001036339
rl_dqn,scale_100,55,10,10,100,1922.3480635916894,1711.9964230214464,1941.582725842934,0.683287998981541,4367.71712902555,100,0.4473922679033929,0.3975120524858539,0.12123038895920618,0.3409385286046017,0.7714420000866085
