method,split,independent_units,events_per_unit_mean,post_change_success_mean,post_change_success_95ci,recovery_rate_mean,recovery_rate_95ci,finite_post_cost_rate_mean,finite_post_cost_rate_95ci,recovery_steps_mean,recovery_steps_95ci,optimal_cost_shock_mean,optimal_cost_shock_95ci,extra_optimal_cost_mean,extra_optimal_cost_95ci,reaction_time_ms_mean,reaction_time_ms_95ci,node_expansions_mean,node_expansions_95ci
rl_no_curriculum,moving_obstacles_period_2,5,41.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.007985998995811122,0.01357958521476749,0.0,0.0,0.5365445578836575,0.07999380940002764,nan,nan
rl_no_curriculum,moving_obstacles_period_4,5,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522658314402049,0.07451009600677112,nan,nan
rl_no_curriculum,new_dynamic_obstacle_locations,5,24.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4645565066051252,0.08947242786224277,nan,nan
rl_no_curriculum,stochastic_obstacles_p05,5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517665225042947,0.11520542722640759,nan,nan
rl_no_curriculum,stochastic_obstacles_p20,5,31.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5734410218405536,0.11624418195566576,nan,nan
rl_no_her,all_dynamic,5,199.6,0.9208480565371024,0.21976102599445435,1.0,0.0,1.0,0.0,0.003259259259259259,0.005939196858325936,0.001566653685029408,0.0027586028810283754,0.001566653685029408,0.0027586028810283754,0.49857879890925766,0.029834716209732052,nan,nan
rl_no_her,changed_toggle_periods,5,58.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0034482758620689655,0.009573948638613081,0.0028566452577454835,0.007931318743153936,0.0028566452577454835,0.007931318743153936,0.46476602492866737,0.04604100730547619,nan,nan
rl_no_her,moving_obstacles_period_2,5,63.2,0.8486486486486486,0.42021871862453086,1.0,0.0,1.0,0.0,0.00909090909090909,0.025240410047252665,0.002662665625576841,0.00739274494291124,0.002662665625576841,0.00739274494291124,0.5377986480630491,0.10583281378050502,nan,nan
rl_no_her,moving_obstacles_period_4,5,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199937957253756,0.12019631296634639,nan,nan
rl_no_her,new_dynamic_obstacle_locations,5,24.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4993171027647501,0.07155064013209476,nan,nan
rl_no_her,stochastic_obstacles_p05,5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502732624881901,0.16100494399670906,nan,nan
rl_no_her,stochastic_obstacles_p20,5,31.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279376807035941,0.08082665598095735,nan,nan
rl_no_shaping,all_dynamic,5,175.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0056632083000798085,0.007016931899075885,0.004691555368873874,0.005813016717691257,0.004691555368873874,0.005813016717691257,0.5148248218411731,0.019434893188575286,nan,nan
rl_no_shaping,changed_toggle_periods,5,58.2,1.0,0.0,1.0,0.0,1.0,0.0,0.010286382232612508,0.01166033887961862,0.008521518057003474,0.009659741011608663,0.008521518057003474,0.009659741011608663,0.49017945210892966,0.06083623219610037,nan,nan
rl_no_shaping,moving_obstacles_period_2,5,41.2,1.0,0.0,1.0,0.0,1.0,0.0,0.00975609756097561,0.016587497089225748,0.00808221585118234,0.013741532520363078,0.00808221585118234,0.013741532520363078,0.571715028506209,0.09934908181054665,nan,nan
rl_no_shaping,moving_obstacles_period_4,5,14.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4842727754793097,0.08390221507373573,nan,nan
rl_no_shaping,new_dynamic_obstacle_locations,5,24.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45712606872111794,0.08178306242549575,nan,nan
rl_no_shaping,stochastic_obstacles_p05,5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145306999769673,0.23467212374326657,nan,nan
rl_no_shaping,stochastic_obstacles_p20,5,29.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516808869125098,0.07973714300646294,nan,nan
