method,split,independent_units,scenarios_per_unit,success_rate_mean,success_rate_95ci,path_cost_gap_mean,path_cost_gap_95ci,compute_time_ms_mean,compute_time_ms_95ci,decision_latency_ms_mean,decision_latency_ms_95ci,steps_mean,steps_95ci,replans_mean,replans_95ci,node_expansions_mean,node_expansions_95ci
dijkstra,sensor_noise_p10,10,1,1.0,0.0,0.0,0.0,1.73759561005,0.5551558339015398,1.73759561005,0.5551558339015398,8.4,2.241958926626473,1.0,0.0,148.7,43.90249455267613
dijkstra,stochastic_obstacles_p05,10,1,1.0,0.0,0.0,0.0,1.26617635995,0.4658175109511413,0.65875530666,0.23210950367771807,7.3,1.5099887294314076,2.1,0.6263629556723539,179.4,67.42527146953189
dijkstra,stochastic_obstacles_p20,10,1,1.0,0.0,0.0,0.0,3.14920510984,1.8463857446925775,0.58376061325,0.2585357706656862,7.9,2.063680346928817,4.9,1.1410883214850551,453.8,269.85654496179956
dijkstra,unseen_layout_same_density,30,1,1.0,0.0,0.0,0.0,0.7035369399966667,0.11779547565582749,0.7035369399966667,0.11779547565582749,8.3,1.0430970787266853,1.0,0.0,107.93333333333334,17.875933055008566
dijkstra,wind_energy_penalty_0_25,10,1,1.0,0.0,0.0,0.0,1.10188915999,0.2601887413866521,1.10188915999,0.2601887413866521,8.6,2.1645375549371995,1.0,0.0,147.4,38.59275184925794
dijkstra,wind_energy_penalty_1_0,10,1,1.0,0.0,0.0,0.0,0.82283445003,0.17590615820747874,0.82283445003,0.17590615820747874,7.7,1.1706040995225087,1.0,0.0,116.0,24.94990600286749
dstar_lite,changed_toggle_periods,30,1,1.0,0.0,0.027614237499999975,0.05647745707989245,4.163260973373333,1.0495510059953395,1.51443214834,0.2958496530081717,8.066666666666666,0.9143039923830913,2.933333333333333,0.5453945712353876,20.733333333333334,4.598365428563181
dstar_lite,denser_unseen_layout,30,1,1.0,0.0,0.0,0.0,2.0410591199966666,0.4219894234393955,2.0410591199966666,0.4219894234393955,8.6,1.1913534552440093,1.0,0.0,26.2,5.676044347485542
dstar_lite,moving_obstacles_period_2,10,1,1.0,0.0,0.0828427124000001,0.18740323524129185,3.94462690987,1.2662833494725931,0.73754466094,0.16601742278626402,9.9,2.1180685955837184,5.1,1.0366506432409315,27.4,9.669527513457018
dstar_lite,moving_obstacles_period_4,10,1,1.0,0.0,0.0,0.0,2.64569827997,0.908019921239254,1.07343383497,0.26466899449626624,8.2,1.4621618283209237,2.4,0.36940871778917994,20.1,7.251851615282175
dstar_lite,new_dynamic_obstacle_locations,30,1,1.0,0.0,0.0,0.0,1.9158391366933334,0.41020524835619643,1.0317861800166668,0.14782139903295513,7.366666666666666,0.8463051859299071,1.8,0.22787376602733792,15.366666666666667,3.2810002699377523
dstar_lite,no_fly_hard,10,1,1.0,0.0,0.0,0.0,2.59652647997,1.4731970253765376,2.59652647997,1.4731970253765376,8.2,2.017706674229335,1.0,0.0,17.3,6.236792779301436
dstar_lite,no_fly_penalty,10,1,1.0,0.0,0.0,0.0,3.94685383001,1.4242168232697712,3.94685383001,1.4242168232697712,7.8,1.3404328443648983,1.0,0.0,17.3,6.0704729766523835
dstar_lite,obstacle_density_10,10,1,1.0,0.0,0.0,0.0,2.28153167998,0.8784871270100972,2.28153167998,0.8784871270100972,8.5,1.7277510720682192,1.0,0.0,23.5,9.359063000631707
dstar_lite,obstacle_density_40,10,1,1.0,0.0,0.0,0.0,2.76631478999,0.7806057627646968,2.76631478999,0.7806057627646968,11.0,1.9371956590424115,1.0,0.0,35.3,8.852009794227806
dstar_lite,scale_100,10,1,1.0,0.0,0.0,0.0,38.47818794004,15.471479126034668,38.47818794004,15.471479126034668,57.2,12.998603431295743,1.0,0.0,342.9,149.63046300570429
dstar_lite,scale_15,10,1,1.0,0.0,0.0,0.0,4.50026275001,1.507285459153502,4.50026275001,1.507285459153502,9.0,2.078778974460037,1.0,0.0,25.7,9.520489980415038
dstar_lite,scale_30,10,1,1.0,0.0,0.0,0.0,5.86400078995,2.8596735805228017,5.86400078995,2.8596735805228017,17.8,4.694543889000434,1.0,0.0,60.3,31.92243178024774
dstar_lite,scale_50,10,1,1.0,0.0,0.0,0.0,12.148745139959999,6.678283356717834,12.148745139959999,6.678283356717834,25.8,7.6140624196807565,1.0,0.0,108.9,42.28808885198997
dstar_lite,seen_layout_unseen_pairs,30,1,1.0,0.0,0.0,0.0,1.8755382466766666,0.3715134324477089,1.8755382466766666,0.3715134324477089,8.0,0.7403462446818594,1.0,0.0,20.6,3.9072211677333666
dstar_lite,sensor_noise_p05,10,1,1.0,0.0,0.0,0.0,5.99622410002,2.356575920903501,5.99622410002,2.356575920903501,9.2,2.073301286481863,1.0,0.0,27.3,10.989780008677796
dstar_lite,sensor_noise_p10,10,1,1.0,0.0,0.0,0.0,3.76428232994,1.1873870093719419,3.76428232994,1.1873870093719419,8.4,2.241958926626473,1.0,0.0,18.7,5.937893241814192
dstar_lite,stochastic_obstacles_p05,10,1,1.0,0.0,0.0,0.0,1.75873665004,0.6387215570532212,1.12724862914,0.8237271429156375,7.3,1.5099887294314076,2.1,0.6263629556723539,13.8,5.579987668235573
dstar_lite,stochastic_obstacles_p20,10,1,1.0,0.0,0.0,0.0,1.9969901599700002,0.7354489931344677,0.40563943686,0.11908164490158585,7.9,2.063680346928817,4.9,1.1410883214850551,14.1,4.9036601316979445
dstar_lite,unseen_layout_same_density,30,1,1.0,0.0,0.0,0.0,2.10238428671,0.4506026267119154,2.10238428671,0.4506026267119154,8.3,1.0430970787266853,1.0,0.0,22.566666666666666,5.013302774020362
dstar_lite,wind_energy_penalty_0_25,10,1,1.0,0.0,0.0,0.0,2.35428639995,1.0979394122186958,2.35428639995,1.0979394122186958,8.6,2.1645375549371995,1.0,0.0,20.1,9.456971399994032
dstar_lite,wind_energy_penalty_1_0,10,1,1.0,0.0,0.0,0.0,1.9767308799899999,0.4439702963751976,1.9767308799899999,0.4439702963751976,7.7,1.1706040995225087,1.0,0.0,15.5,3.774030316686814
rl_dqn,changed_toggle_periods,5,30,0.3933333333333333,0.6689126677215421,0.8584393159314267,1.1072834358515518,69.79397426753106,75.49791869708254,0.4754617466813455,0.06431114416900456,138.26666666666668,147.4656398431643,nan,nan,nan,nan
rl_dqn,denser_unseen_layout,5,30,0.2533333333333333,0.43957945286667427,0.8288190325348976,3.7165815434799296,61.64006909329812,38.023689313723,0.39782347676651614,0.02032908364337857,159.96666666666667,98.48774335000685,nan,nan,nan,nan
rl_dqn,moving_obstacles_period_2,5,10,0.4,0.6800873806582556,1.3183766184073589,1.270620473617469,77.6032645280975,81.85292164489044,0.565295750277096,0.04715105872733739,139.04,146.15080447569892,nan,nan,nan,nan
rl_dqn,moving_obstacles_period_4,5,10,0.4,0.6800873806582556,0.5263455967290598,1.7330768107970336,63.936876870171545,68.80006632254945,0.4368550792013852,0.04760111980518315,138.3,147.40894629446436,nan,nan,nan,nan
rl_dqn,new_dynamic_obstacle_locations,5,30,0.4,0.6615737829627117,3.022109985913704,9.44885005380537,61.17068902185565,65.79943488738635,0.4532082907366217,0.05103663497192552,136.54666666666668,146.39192385570897,nan,nan,nan,nan
rl_dqn,no_fly_hard,5,10,0.36,0.6183436844829651,1.7461940777125597,0.0451501083857378,50.427187599707395,54.26296377694933,0.38318567905397144,0.020825056591268105,129.62,138.93549913676998,nan,nan,nan,nan
rl_dqn,no_fly_penalty,5,10,0.44,0.6427935141463981,3.1893746955710642,8.720505068004138,50.23760399645471,53.62486248302097,0.3987943616910619,0.04430930241115159,129.85999999999999,139.44413540182836,nan,nan,nan,nan
rl_dqn,obstacle_density_10,5,10,0.4,0.6800873806582556,0.899137802864846,1.2067685779957538,53.76520505359804,56.013547501854184,0.43697035583600913,0.09296084257785513,138.42,147.2049200893269,nan,nan,nan,nan
rl_dqn,obstacle_density_40,5,10,0.26,0.4612577032983615,2.2120950519455875,10.297675300766409,63.45158420567532,39.65276910327519,0.37597795818870033,0.01986434976969696,165.24,103.31176486470555,nan,nan,nan,nan
rl_dqn,scale_100,5,10,0.0,0.0,nan,nan,930.815684075922,795.8883289618855,0.5144064634069612,0.06624708426002798,2408.52,2075.358743683567,nan,nan,nan,nan
rl_dqn,scale_15,5,10,0.38,0.6475727138834813,1.294670911158698,4.743868750280615,53.37088964842769,55.745419378177715,0.41155583059204237,0.09175962413139277,138.72,146.69484800798574,nan,nan,nan,nan
rl_dqn,scale_30,5,10,0.3,0.5119511816120857,4.0463132474500245,13.096307931648669,221.5391397427411,187.55884842137382,0.4058030441778357,0.043887672298276184,564.88,478.72127519275034,nan,nan,nan,nan
rl_dqn,scale_50,5,10,0.04,0.11105780420791173,8.26345596729059,nan,635.2335758371191,221.695410649659,0.4263118161081521,0.02671351321312512,1607.3,511.71999851300495,nan,nan,nan,nan
rl_dqn,seen_layout_unseen_pairs,5,30,0.38,0.6301436295640294,0.6310300783401651,1.3888997668338467,53.00254856184741,55.69274407518699,0.423921852986642,0.07017823953153769,136.78,145.93993583244333,nan,nan,nan,nan
rl_dqn,sensor_noise_p05,5,10,0.38,0.6475727138834813,1.1157764104543837,1.8541901485830905,27.367701403756655,37.99611683308749,0.44674943898985536,0.12445857202944416,71.14,99.69102882283667,nan,nan,nan,nan
rl_dqn,sensor_noise_p10,5,10,0.4,0.6270095840822659,6.241636200501269,21.02863539585636,18.997371619836485,35.339593740523696,0.44198393851688067,0.12455248722149648,49.18,93.89005523909634,nan,nan,nan,nan
rl_dqn,stochastic_obstacles_p05,5,10,0.4,0.6800873806582556,0.9941125496954291,2.1052329312051294,58.94475746604439,63.68998475113952,0.4095051896867718,0.03525371709164742,137.92,148.05502276930227,nan,nan,nan,nan
rl_dqn,stochastic_obstacles_p20,5,10,0.4,0.6800873806582556,0.8970562748477146,2.9772489632647514,71.23904249393308,76.9498648952965,0.4812045183574679,0.07244971907383752,138.32,147.37535383898404,nan,nan,nan,nan
rl_dqn,unseen_layout_same_density,5,30,0.3666666666666667,0.6235851478585798,0.8987476778669108,1.930093707370349,54.78555114629368,52.69037340235685,0.3793104457168045,0.013068669477908265,142.71333333333334,135.7264387440108,nan,nan,nan,nan
rl_dqn,wind_energy_penalty_0_25,5,10,0.4,0.6800873806582556,0.9416630560342625,5.630563001611916,53.808932497977366,57.389781940733144,0.3818547297166012,0.01425806760801181,138.44,147.17090917444654,nan,nan,nan,nan
rl_dqn,wind_energy_penalty_1_0,5,10,0.4,0.6800873806582556,1.61126983722081,3.5938574128375063,53.06118469652938,57.021969648574455,0.3786213686476721,0.015248921085557155,138.0,147.91900529317058,nan,nan,nan,nan
rl_dynamic_from_scratch,changed_toggle_periods,5,30,0.9133333333333333,0.24062524245047542,0.9256715021594493,0.9931765203799838,10.805030019871387,20.33244405188511,0.4252502441196655,0.03180079716591478,27.02,52.6228895605155,nan,nan,nan,nan
rl_dynamic_from_scratch,denser_unseen_layout,5,30,0.7000000000000001,0.16294786831222377,1.0813980144686453,0.7292710088299098,25.741524087282112,6.625514652257537,0.3832541879420586,0.020442336311567225,68.12,19.63770112478305,nan,nan,nan,nan
rl_dynamic_from_scratch,moving_obstacles_period_2,5,10,0.92,0.22211560841582345,1.1445218818286795,0.6851437540128417,11.094053242806694,18.805072065609608,0.4288337001481327,0.07189334282389942,27.380000000000003,48.25477567750389,nan,nan,nan,nan
rl_dynamic_from_scratch,moving_obstacles_period_4,5,10,0.96,0.11105780420791173,0.894091629284898,1.4094646642210795,7.042914582452795,11.1372924513041,0.3711397754114711,0.0163304966065729,17.32,25.321179359403875,nan,nan,nan,nan
rl_dynamic_from_scratch,new_dynamic_obstacle_locations,5,30,0.8933333333333333,0.29615414455443123,0.720078812863245,0.5234714268021314,11.583425496644244,24.249618803939466,0.3799720213591304,0.027255763256103516,30.613333333333333,64.54309387883137,nan,nan,nan,nan
rl_dynamic_from_scratch,no_fly_hard,5,10,0.88,0.3331734126237352,1.719797974644667,0.818555281255037,11.046652249970066,20.16871708195484,0.42980147244515876,0.10385936270771036,30.3,60.804337971007264,nan,nan,nan,nan
